"rank","word","pronunciation","pos","cn","en"
"49","time","/taɪm/","noun","时间","something measured in minutes, hours, days, etc."
"50","see","/si/","verb","看","to use your eyes to look at something"
"51","what","/wʌt/","adv","什么","asking for information about someone or something"
"52","up","/ʌp/","prep","向上","move higher; raise"
"53","some","/sʌm/","det","一些","used to refer to a person or thing that is not known"
"54","other","/ˈʌð.ər/","adj","别的","something else; not the first one"
"55","out","/aʊt/","prep","从...里面出去","away from the inside or center"
"56","good","/gʊd/","adj","好的","excellent; high quality"
"57","people","/ˈpi.pəl/","noun","人；人们","human beings in general; plural of person"
"58","year","/jɪə/","noun","年","unit of time equal to 12 months"
"59","take","/teɪk/","verb","拿；取","to pick up something and go away with it"
"60","no","/noʊ/","adv","不","being none; not having or being"
"61","well","/wɛl/","adv","很好地","in a good way"
"62","because","/bɪˈkɔz/","conj","因为","for a reason"
"63","very","/ˈvɛr.i/","adv","非常；很","much; great in amount"
"64","just","/dʒʌst/","adv","只是；刚刚","only; a short time ago"
"65","come","/kʌm/","verb","来","to move toward someone; go with someone"
"66","could","/kʊd/","aux","可以","used as the past form of can, to show possibility"
"67","work","/wɜrk/","noun","工作","activity you do in order to make money"
"68","use","/jus/","verb","使用","to do something with, for a task or purpose"
"69","than","/ðæn/","conj","比","used when comparing two things"
"70","now","/naʊ/","adv","现在","at the present time or moment"
"71","then","/ðɛn/","adv","那时","at that time not now"
"72","also","/ˈɑl.səʊ/","adv","也;同样","in addition; too; in a similar way"
"73","into","/ˈɪn.tu/","prep","到...里面","going inside something"
"74","only","/ˈoʊn.li/","adv","唯一的；仅有的","just one; just that amount or thing; not more than"
"75","look","/lʊk/","verb","看","to turn your eyes in a particular direction"
"76","want","/wɑnt/","verb","想要","to desire or wish for something; hope for a thing"
"77","give","/gɪv/","verb","给","to hand over or present something to someone"
"78","first","/fɜrst/","adj","第一的","coming before all others in time or place"
"79","new","/nu/","adj","新的","not old, recently born, built, or made"
"80","way","/weɪ/","noun","方法","how something is done"
"81","find","/faɪnd/","verb","寻找","to discover something by looking for it"
"82","over","/ˈoʊ.vər/","prep","在...上面；穿越；多于；在...另一边","above; across; more than; on the other side"
"83","any","/ˈɛn.i/","adj","任何","one (thing) of many; some (thing)"
"84","after","/ˈæf.tər/","adv","后来；在后面","later than another time, or behind something"
"85","day","/deɪ/","noun","一天","a period of 24 hours"
"86","where","/wɛər/","noun","地点","word you use to ask the location of something"
"87","thing","/θɪŋ/","noun","事情","something you cannot remember the name of"
"88","most","/moʊst/","pron","几乎所有","nearly all of something"
"89","should","/ʃʊd/","aux","应该","used to indicate what is proper or reasonable"
"90","need","/nid/","verb","需要","to be unable to manage without something; require"
"91","much","/mʌtʃ/","pron","许多；大量","a lot; large amount; a high degree of"
"92","right","/raɪt/","adj","右边的","on side where the hand that most people write with"
"93","how","/haʊ/","adv","如何","in what way something happens or is done"
"94","back","/bæk/","adj","背后的；后面的；过去的","behind; to the rear; previous"
"95","mean","/min/","verb","也许","to have a particular meaning or value"
"96","even","/ˈi.vən/","adv","即使；甚至","as well; too"
"97","may","/meɪ/","aux","可能","used to talk about what is possible"
"98","here","/hɪər/","adv","在这里","in, at, or to this position or place"
"99","many","/ˈmɛn.i/","adj","许多的","used to refer to a large number of things"
"100","such","/sʌtʃ/","adj","这样的；如此的","so like, or similar"
"101","last","/læst/","adj","最近的；最后的","the one before"
"102","child","/tʃaɪld/","noun","小孩（2岁到15岁之间）","a very young person, between about 2 and 15"
"103","tell","/tɛl/","verb","告诉","to say or communicate information to someone"
"104","really","/ˈrɪə.li/","adv","很","very"
"105","call","/kɔl/","verb","呼叫","to phone someone"
"106","before","/bɪˈfɔr/","adv","在...之前","at a time earlier than the present; previously"
"107","company","/ˈkʌm.pə.ni/","noun","公司","a business that sells things or provides services"
"108","through","/θru/","adj","通过","from one end or side of something to the other end or side"
"109","down","/daʊn/","prep","向下","going from a higher position to a lower position"
"110","show","/ʃoʊ/","verb","展示","to explain or teach how something is done"
"111","life","/laɪf/","noun","生命","all the living things (e.g., animals, plants, humans)"
"112","man","/mæn/","noun","男人","an adult male human being"
"113","change","/tʃeɪndʒ/","verb","改变","to make or become different, or into something else"
"114","place","/pleɪs/","verb","放置","to put something in a certain location or position"
"115","long","/lɔŋ/","adj","长的","large distance from one end to the other"
"116","between","/bɪˈtwin/","prep","两者之间","in the space that separates two objects"
"117","feel","/fil/","verb","感觉","to be aware of or experience an emotion or sensation"
"118","too","/tu/","adv","也","say that something is more than you want"
"119","still","/stɪl/","adv","仍然；还","happening in the past and continuing into the present"
"120","problem","/ˈprɑb.ləm/","noun","问题","something difficult to deal with or causes trouble"
"121","write","/raɪt/","verb","写","to make letters and words on paper or a screen"
"122","same","/seɪm/","adj","相同的；无变化的","identical; not different"
"123","lot","/lɑt/","noun","大量；许多","A large quantity, or number taken together"
"124","great","/greɪt/","adj","极好的；美妙的；伟大的","very good; fantastic; wonderful"
"125","try","/traɪ/","verb","努力；尝试","to make an effort, to attempt to do something"
"126","leave","/liv/","verb","离开","to go away from; depart"
"127","number","/ˈnʌm.bər/","noun","数字","symbols such as 1, 2, 56, 793"
"128","both","/boʊθ/","det","两者","used to refer to two things at the same time"
"129","own","/oʊn/","det","属于自己的","yours, his, hers, etc.; not belonging to another"
"130","part","/pɑrt/","noun","部分","some, but not all of a specific thing"
"131","point","/pɔɪnt/","verb","指向","to indicate something with your finger to others"
"132","little","/ˈlɪt.l/","adj","小的","not great in size, amount, or degree; small"
"133","help","/hɛlp/","verb","帮助","to act to enable a person to do something; assist"
"134","ask","/æsk/","verb","问","to say to someone that you want something"
"135","meet","/mit/","verb","遇见","to come together at a certain time or place"
"136","start","/stɑrt/","noun","开始","first time or place that a thing exists; beginning"
"137","talk","/tɔk/","verb","谈话","to say things or ideas to someone with words"
"138","something","/ˈsʌmˌθɪŋ/","pron","某事","thing that is not yet known or named"
"139","put","/pʊt/","verb","放；安置","to move or place a thing in a particular position"
"140","another","/əˈnʌð.ər/","det","另一个；别的","one more (thing); additional (thing)"
"141","become","/bɪˈkʌm/","verb","开始变得；成为","to begin to be; grow to be; develop into"
"142","interest","/ˈɪn.tər.ɪst/","verb","兴趣","to make someone want to know about something"
"143","country","/ˈkʌn.tri/","noun","国家","an area of land that is controlled by a government"
"144","old","/oʊld/","adj","陈旧的；年老的","having existed for a long time, not young or new"
"145","each","/itʃ/","det","每个","every one of two or more things"
"146","school","/skul/","noun","学校","building where you learn in classes with a teacher"
"147","late","/leɪt/","adj","晚的","happening near the end of a given time"
"148","high","/haɪ/","adj","高的","rising upward a great distance"
"149","different","/ˈdɪf.ər.ənt/","adj","不同的","not of the same kind; unlike other things"
"150","off","/ɑf/","adj","离开","away from; not on"
"151","next","/nɛkst/","adj","下一个的","immediately after the previous one"
"152","end","/ɛnd/","noun","终止；结束","a point that marks the limit of something; finish"
"153","live","/lɪv/","verb","生活","to be alive"
"154","why","/waɪ/","adv","为什么","for what reason or purpose"
"155","while","/waɪl/","conj","当...的时候；同时","during the time that; at the same time"
"156","world","/wɜrld/","noun","世界","all the humans, events, activities on the earth"
"157","week","/wik/","noun","星期；周","period of seven days, starts on Sunday and end on Saturday"
"158","play","/pleɪ/","verb","玩","to do or perform a game or sport"
"159","might","/maɪt/","aux","可能","used to express that something could happen"
"160","must","/mʌst/","aux","必须","used to say that something is required or necessary"
"161","home","/hoʊm/","noun","家庭","place where a person or a family lives"
"162","never","/ˈnɛv.ər/","adv","从未；决不","not ever; not at any time"
"163","include","/ɪnˈklud/","verb","包含；包括","to make someone/something part of a group"
"164","course","/kɔrs/","noun","过程","route or direction that a river, etc., moves along"
"165","house","/haʊs/","noun","房屋；住宅","building in which a family, person lives"
"166","report","/rɪˈpɔrt/","noun","报告","account of something which gives the necessary facts and information"
"167","group","/grup/","noun","组；团体","number of people or things gathered together"
"168","case","/keɪs/","noun","案件","example or instance of something"
"169","woman","/ˈwʊm.ən/","noun","女人","adult female human being"
"170","around","/əˈraʊnd/","adv","围绕","located on every side, or along something"
"171","book","/bʊk/","noun","书","thing made of pages with writing on that you read"
"172","family","/ˈfæm.ə.li/","noun","家庭","a group of people who are related through blood"
"173","seem","/sim/","verb","似乎","to appear to be something"
"174","let","/lɛt/","verb","让；允许","to not stop someone from doing something"
"175","again","/əˈgɛn/","adv","再一次；又","one more time, once more"
"176","kind","/kaɪnd/","noun","种类","one type of thing"
"177","keep","/kip/","verb","保持","to have and continue to hold something"
"178","hear","/hɪər/","verb","听","to be aware of sound; to perceive with the ear"
"179","system","/ˈsɪs.təm/","noun","体系；制度","set of organized, planned ideas that work together"
"180","every","/ˈɛv.ri/","det","每一个","including each person or thing in a group"
"181","question","/ˈkwɛs.tʃən/","verb","提问","to ask for or try to get information"
"182","during","/ˈdʊər.ɪŋ/","prep","在...期间","at some point in the course of an event or thing"
"183","always","/ˈɑl.weɪz/","adv","总是；常常","at all times; in every situation"
"184","big","/bɪg/","adj","大的","large"
"185","set","/sɛt/","noun","一套","complete group of something (e.g., a chess set)"
"186","small","/smɔl/","adj","小的","little in size; not big"
"187","study","/ˈstʌd.i/","verb","学习","to focus on learning something usually at school"
"188","follow","/ˈfɑl.oʊ/","verb","跟随；遵循","to come after someone; be guided by someone"
"189","begin","/bɪˈgɪn/","verb","开始变得；成为","to do the first part of an action; to start"
"190","important","/ɪm.ˈpɔr.tənt/","adj","重要的","having a big effect on (person, the future)"
"191","since","/sɪns/","prep","自从","from the time in the past that"
"192","run","/rʌn/","verb","跑步","to move your legs faster than walking"
"193","under","/ˈʌn.dər/","adj","较低的","in the same place as another thing, but lower"
"194","turn","/tɜrn/","verb","转动","to change the direction of something (e.g., a car)"
"195","few","/fju/","adj","很少的；几个","not many; small in number"
"196","bring","/brɪŋ/","verb","带来","to take or go with someone to a place"
"197","early","/ˈɜr.li/","adj","早期的","happening sooner than expected"
"198","hand","/hænd/","noun","手","body part at the end of a person's arm"
"199","state","/steɪt/","noun","州","region within a country, with its own government"
"200","move","/muv/","verb","移动","to cause something to change to a different place"
"201","money","/ˈmʌn.i/","noun","金钱","coins or notes we use to pay for things"
"202","fact","/fækt/","noun","事实","something that is known or proved to be true"
"203","however","/haʊˈɛv.ər/","conj","然而；但是","used to say something is different from what was said before; but"
"204","area","/ˈɛər.i.ə/","noun","地区；领域","a specific section or space; part of a region"
"205","provide","/prəˈvaɪd/","verb","准备；提供","to make available; to supply for use"
"206","name","/neɪm/","noun","姓名","what something or someone is called"
"207","read","/rid/","verb","阅读","to look at and comprehend the meaning some writing"
"208","friend","/frɛnd/","noun","朋友","person who you like and enjoy being with"
"209","month","/mʌnθ/","noun","月","one of 12 time periods that make a year, each from 28 to 31 days long"
"210","large","/lɑrdʒ/","adj","大的","big; of great size; broad, tall, wide, long, or fat"
"211","business","/ˈbɪz.nɪs/","noun","生意","the making, buying, or selling goods or services for money"
"212","without","/wɪðˈaʊt/","prep","没有","used to say you don't have something or it isn't in a place"
"213","information","/ˌɪn.fərˈmeɪ.ʃən/","noun","信息","collection of facts and details about something"
"214","open","/ˈoʊ.pən/","adj","打开","not closed or shut"
"215","order","/ˈɔr.dər/","verb","订购","to ask for something you want to buy (e.g., a meal)"
"216","government","/ˈgʌv.ərn.mənt/","noun","政府","group of people and system which rule a nation"
"217","word","/wɜrd/","noun","单词","unit of language that has a meaning"
"218","issue","/ˈɪʃ.u/","noun","重要议题","important topic discussed, debated, or argued over"
"219","market","/ˈmɑr.kɪt/","noun","市场","public event where people sell goods on tables"
"220","pay","/peɪ/","verb","支付","to give money for goods or work done"
"221","build","/bɪld/","verb","建筑","to make (e.g., a house, by putting materials together)"
"222","hold","/hoʊld/","verb","抓住","to use hands or arms to carry or keep something"
"223","service","/ˈsɜr.vɪs/","verb","维修","to maintain a piece of machinery so it runs well"
"224","against","/əˈgɛnst/","prep","与...相反；反对","in opposition to; disagreeing with"
"225","believe","/bɪˈliv/","verb","相信","to think or accept that something is true"
"226","second","/ˈsɛk.ənd/","adj","第二的；次要的","2nd; the one following first"
"227","though","/ðoʊ/","adv","尽管","although, despite the fact that"
"228","yes","/jɛs/","intj","是的","way to say you agree or will do something"
"229","love","/lʌv/","verb","爱","to care for and like someone very strong and deeply"
"230","increase","/ɪnˈkris/","verb","增长","to make or become something larger in size or amount"
"231","job","/dʒɑb/","noun","工作","regular work of earning money"
"232","plan","/plæn/","verb","计划","to decide a set of actions to do something"
"233","result","/rɪˈzʌlt/","verb","结果","to be the outcome of other causes and effects"
"234","away","/əˈweɪ/","adv","不在；远离；在另一方向","not here; far from here; in a different direction"
"235","example","/ɪɡˈzæm.pəl/","noun","例子","something or someone who represents a group"
"236","happen","/ˈhæp.ən/","verb","发生","to take place or occur"
"237","offer","/ˈɑ.fər/","verb","提供","to give the opportunity to accept something"
"238","young","/jʌŋ/","adj","幼小的；未成熟的","at an early stage of existence; not mature"
"239","close","/kloʊz/","adv","接近地；不远地","next to; only a short distance away"
"240","program","/ˈproʊ.græm/","noun","计划；程序","planned set of actions; a schematic system"
"241","lead","/lid/","verb","带领","to show the way or guide others"
"242","buy","/baɪ/","verb","购买","to get something by paying money for it"
"243","understand","/ˌʌn.dərˈstænd/","verb","理解","to know the meaning of language, what someone says"
"244","thank","/θæŋk/","verb","谢谢","to tell someone you are grateful to them"
"245","far","/fɑr/","adj","远的","a long way away"
"246","today","/təˈdeɪ/","adv","在今日；当今","on this day; at the time that is happening now"
"247","hour","/ˈaʊ.ər/","noun","小时","60 minutes; one of 24 equal units of time in a day"
"248","student","/ˈstu.dənt/","noun","学生","person studying at school"
"249","face","/feɪs/","noun","脸","front part of the head where eyes, nose, and mouth are"
"250","hope","/hoʊp/","noun","希望","when you wish something would happen; what you wish"
"251","idea","/aɪˈdi.ə/","noun","主意；想法；意见；信念","belief, thought, suggestion, opinion, or plan"
"252","cost","/kɔst/","noun","成本","price you pay for something"
"253","less","/lɛs/","adj","较少的","smaller in amount or degree"
"254","room","/rum/","noun","房间","a part of building enclosed by walls (e.g., kitchen)"
"255","until","/ʌnˈtɪl/","conj","直到","up to, to indicate a point in time when something happens"
"256","reason","/ˈri.zən/","noun","理由","explanation for why something occurred or was done"
"257","form","/fɔrm/","noun","形式","visible shape or style; type; kind"
"258","spend","/spɛnd/","verb","花费","to use money to pay for something"
"259","head","/hɛd/","noun","头","top part of your body with eyes and a mouth"
"260","car","/kɑr/","noun","车","a vehicle with four wheels and engine that can carry things"
"261","learn","/lɜrn/","verb","学习","to get knowledge or skills by study or experience"
"262","level","/ˈlɛv.əl/","verb","使平坦","to make things flat or even"
"263","person","/ˈpɜr.sən/","noun","人","man, woman, or child"
"264","experience","/ɪkˈspɪər.i.əns/","noun","经验","knowledge gained by living life, doing new things"
"265","once","/wʌns/","adv","一次","one time; one instance"
"266","member","/ˈmɛm.bər/","noun","成员","person or thing belonging to a group or team"
"267","enough","/ɪˈnʌf/","adj","充足的","equal to what is needed; as much as required"
"268","bad","/bæd/","adj","不好的；坏的","not good; wrong"
"269","city","/ˈsɪt.i/","noun","城市","a heavily populated area with many buildings and roads"
"270","night","/naɪt/","noun","夜晚","the time of time from when the sun goes down to when it comes up again"
"271","able","/ˈeɪ.bəl/","adj","能够的","having the power, skill, knowledge, or money to do something"
"272","support","/səˈpɔrt/","verb","支持","to give assistance or advice to someone"
"273","whether","/ˈwɛð.ər/","conj","是否","if something will happen or not"
"274","line","/laɪn/","noun","线","mark that is long, straight, and very thin"
"275","present","/ˈprɛz.ənt/","noun","礼物","gift"
"276","side","/saɪd/","noun","一边","straight edge of an object"
"277","quite","/kwaɪt/","adv","很；相当地","very; in a complete or total manner"
"278","although","/ɔlˈðoʊ/","conj","虽然；尽管","despite the fact that; however"
"279","sure","/ʃʊə/","adj","确信的","having no doubts about something"
"280","term","/tɜrm/","noun","学期","fixed period of weeks for learning at school"
"281","least","/list/","adv","最小；最少","in the smallest or lowest way"
"282","age","/eɪdʒ/","noun","年龄","number of years a person has lived (also of things)"
"283","low","/loʊ/","adj","低的；近底部的","not high; being near the ground, or bottom"
"284","speak","/spik/","verb","讲话；发言","to use words to tell information, express thoughts"
"285","within","/wɪðˈɪn/","adv","在..（空间，时间或范围）之内","not beyond the limits of a particular space, time, or range"
"286","process","/ˈprɑs.ɛs/","verb","加工；处理","to adopt a set of actions that produce a particular result"
"287","public","/ˈpʌb.lɪk/","adj","公总的","concerning society in general"
"288","often","/ˈɑf.(t)ən/","adv","经常","many times, frequently, on many occasions"
"289","train","/treɪn/","noun","火车","vehicle that carries people and runs on rails"
"290","possible","/ˈpɑs.ə.bəl/","adj","可能的","having a chance of happening, or being true"
"291","actually","/ˈæk.tʃu.ə.li/","adv","实际上","used to add new (often different) information"
"292","rather","/ˈræð.ər/","adv","或多或少地；相当地；稍微","somewhat; fairly; not that much"
"293","view","/vju/","noun","视野","things you are able to see from a specific place"
"294","together","/təˈgɛð.ər/","adv","在一起","near close in the same place not far in a family or group"
"295","consider","/kənˈsɪd.ər/","verb","考虑","to think carefully about something"
"296","price","/praɪs/","verb","价格","to determine or set the cost of something"
"297","parent","/ˈpɛər.ənt/","noun","父母","person's mother or father"
"298","hard","/hɑrd/","adj","硬的；坚固的","difficult to bend, break or cut; solid"
"299","party","/ˈpɑr.ti/","noun","派对","social event often with food, drinks, and dancing"
"300","local","/ˈloʊ.kəl/","adj","当地的","relating or restricted to a particular area, city, or town"
"301","control","/kənˈtroʊl/","verb","控制","to direct or influence the behavior of something"
"302","already","/ɔlˈrɛd.i/","adv","已经","having happened or been done before this time"
"303","concern","/kənˈsɜrn/","noun","担心；忧虑","feeling of worry or anxiety"
"304","product","/ˈprɑd.əkt/","noun","产品","item that can be bought"
"305","lose","/luz/","verb","失去","to be unable to find something you once had"
"306","story","/ˈstɔr.i/","noun","故事","an account or description of how something happened"
"307","almost","/ˈɑl.məʊst/","adv","几乎；差不多","only a little less than, nearly, not quite"
"308","continue","/kənˈtɪn.ju/","verb","继续","to do something without stopping, or after pausing"
"309","stand","/stænd/","verb","站立","to be upright; not be sitting or lying down"
"310","whole","/hoʊl/","adj","整体的；所有的","complete or full; all of"
"311","yet","/jɛt/","adv","还；即刻","until now; up to the present"
"312","rate","/reɪt/","noun","速度；比率","speed or frequency of events over time"
"313","care","/kɛər/","verb","关心","to look after someone or something"
"314","expect","/ɪkˈspɛkt/","verb","期望","to believe something is probably going to happen"
"315","effect","/ɪˈfɛkt/","noun","影响；效果","change brought about by a cause; result"
"316","sort","/sɔrt/","noun","种类；类别","group or class of similar things or people"
"317","ever","/ˈɛv.ər/","adv","任何时候；永远","at any time; at all times in the future"
"318","anything","/ˈɛn.iˌθɪŋ/","pron","任何事物","thing of any kind; used to refer to a thing in questions"
"319","cause","/kɔz/","verb","使发生；造成","to make something happen; create effect or result"
"320","fall","/fɔl/","noun","落下","dropping from a standing position to the ground"
"321","deal","/dil/","verb","发（牌）；分配","to give out (cards, etc.) to; distribute"
"322","water","/ˈwɔ.tər/","noun","水","clear liquid that forms the seas, rivers, and rain"
"323","send","/sɛnd/","verb","发送；寄","to cause mail or package to go to another place"
"324","allow","/əˈlaʊ/","verb","允许","to let or permit someone do something"
"325","soon","/sun/","adv","不久","at a time not long from now"
"326","watch","/wɑtʃ/","verb","观看","to look at carefully to work out what is happening"
"327","base","/beɪs/","noun","基础","origin or start from which something came"
"328","probably","/ˈprɑb.ə.bli/","adv","可能地","likely to happen or be true"
"329","suggest","/səgˈdʒɛst/","verb","建议","to mention something that could be done; propose"
"330","past","/pæst/","noun","过去","the time that existed before now (e.g., long ago)"
"331","power","/ˈpaʊ.ər/","noun","力量","legal or official right to perform certain actions"
"332","test","/tɛst/","noun","测验","examination; questions to measure knowledge"
"333","visit","/ˈvɪz.ɪt/","verb","参观","to go to a place for a time, usually for a reason"
"334","center","/ˈsɛn.tər/","noun","中心","place in the middle of something"
"335","grow","/groʊ/","verb","发展；生长","to develop and become bigger or taller over time"
"336","nothing","/ˈnʌθ.ɪŋ/","pron","没有什么","not anything, not a single thing"
"337","return","/rɪˈtɜrn/","verb","返回","to come back to a place again"
"338","mother","/ˈmʌð.ər/","noun","母亲","a female who has a child or children"
"339","walk","/wɔk/","verb","走路","to move with your legs at a slowish pace"
"340","matter","/ˈmæt.ər/","noun","事情；问题","problem or reason for concern"
"341","mind","/maɪnd/","noun","理智；头脑","part of humans that allows us to think or feel"
"342","value","/ˈvæl.ju/","verb","估价","to say how much money something is worth"
"343","office","/ˈɑ.fɪs/","noun","办公室","building of set of rooms used to do business or professional activities"
"344","record","/ˈrɛk.ərd/","noun","记录","being the highest or most extreme level achieved in an area"
"345","stay","/steɪ/","verb","暂住","to spend time visiting a place or someone's home"
"346","force","/fɔrs/","verb","强迫","to use physical strength or violence to persuade"
"347","stop","/stɑp/","verb","停止","to finish moving or to come to an end"
"348","several","/ˈsɛv.ər.əl/","det","一些","more than two but not many"
"349","light","/laɪt/","adj","轻的","not heavy; weighing only a little"
"350","develop","/dɪˈvɛl.əp/","verb","发展","to grow bigger, more complex, or more advanced"
"351","remember","/rɪˈmɛm.bər/","verb","回想起；记得","to bring a previous image or idea to your mind"
"352","bit","/bɪt/","noun","一点","small piece of something"
"353","share","/ʃɛər/","noun","股份","part of a company you own, shown by a certificate"
"354","real","/ril/","adj","真实的;实在的","actually existing or happening, not imagined"
"355","answer","/ˈæn.sər/","noun","回答；答案","solution to a problem or test question"
"356","sit","/sɪt/","verb","坐","to be in a resting position on a chair"
"357","figure","/ˈfɪɡ.jər/","verb","计算","to understand after thinking; work out"
"358","letter","/ˈlɛt.ər/","noun","信件","message you put in an envelope and send by post"
"359","decide","/dɪˈsaɪd/","verb","决定","to make a choice about something or choose after thinking"
"360","language","/ˈlæŋ.gwɪdʒ/","noun","语言","words or signs used to communicate messages"
"361","subject","/ˈsʌb.dʒɪkt/","noun","主题；话题","the person, or thing that is being talked, or written about"
"362","class","/klæs/","noun","社会等级；阶级","rank or level in society, ranked from high (rich professional people) to low (ordinary people)"
"363","development","/dɪˈvɛl.əp.mənt/","noun","开发","act or process of growing bigger or more advanced"
"364","town","/taʊn/","noun","镇","small city"
"365","half","/hæf/","noun","一半","the part you get when one is divided into two; ½"
"366","minute","/ˈmɪn.ɪt/","noun","分钟","unit of time equal to 60 seconds"
"367","food","/fud/","noun","食物","what people and animals eat to live"
"368","break","/breɪk/","verb","打破","to separate into pieces by force, or by dropping"
"369","clear","/klɪər/","adj","清楚的；明确的；明显的","easy to understand; well-explained; obvious"
"370","future","/ˈfju.tʃər/","noun","将来","time that is to come after the present"
"371","either","/ˈi.ðər/","adj","(两者之中)任何一个的","one of two (used when there is a choice of two)"
"372","ago","/əˈgoʊ/","adv","以前","at a specified length of time in the past"
"373","per","/pɜr/","prep","每","for each; during each"
"374","remain","/rɪˈmeɪn/","verb","剩下；保持","to be left behind, to continue to exist"
"375","top","/tɒp/","noun","顶端","highest or upper part or point of something"
"376","among","/əˈmʌŋ/","prep","在...之中；相互间","in the center of some things; in relation to several things"
"377","win","/wɪn/","verb","赢","to succeed in a game or contest"
"378","color","/ˈkʌl.ər/","noun","颜色","the quality of things you can see (e.g., red, blue)"
"379","involve","/ɪnˈvɑlv/","verb","涉及","to have or be included as a part of something"
"380","reach","/ritʃ/","verb","达到","to come to or arrive at a goal or destination"
"381","social","/ˈsoʊ.ʃəl/","adj","社会的","involving activities among people especially free time activities"
"382","period","/ˈpɪər.i.əd/","noun","时期","set amount of time during which events take place"
"383","across","/əˈkrɑs/","adv","从...一边到另一边","from one side to the other of something"
"384","note","/noʊt/","verb","笔记","to make mention of something; to make a remark"
"385","history","/ˈhɪs.tə.ri/","noun","历史","study of past event"
"386","create","/kriˈeɪt/","verb","创造","to make, cause, or bring into existence"
"387","drive","/draɪv/","verb","驾驶","to control a vehicle so that it moves somewhere"
"388","along","/əˈlɔŋ/","prep","沿着","at a point on a line"
"389","type","/taɪp/","noun","类型","group of things or people sharing common features"
"390","sound","/saʊnd/","noun","声音","waves traveling in air or water that can be heard"
"391","eye","/aɪ/","noun","眼睛","part of the body that you see with"
"392","music","/ˈmju.zɪk/","noun","音乐","sounds that are sung or played to give pleasure"
"393","game","/geɪm/","noun","游戏","activity with rules that people play to have fun"
"394","political","/pəˈlɪt.ɪ.kəl/","adj","政治的","concerning government or public affairs"
"395","free","/fri/","adj","免费的","costing no money"
"396","receive","/rɪˈsiv/","verb","收到","to get something that someone has given or sent to you"
"397","moment","/ˈmoʊ.mənt/","noun","片刻","very short or brief period of time"
"398","sale","/seɪl/","noun","出售；销售额","giving something for money; the amount sold"
"399","policy","/ˈpɑl.ə.si/","noun","政策","course of action proposed by an organization, etc."
"400","further","/ˈfɜr.ðər/","adj","进一步的；附加的","extra; in addition"
"401","body","/ˈbɑd.i/","noun","身体","a person's physical self"
"402","require","/rɪˈkwaɪər/","verb","要求","to need something, to make it necessary"
